geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000197497,-0.3172761939646721,1.115388699425433,-3.142388465387601,0.008763376250609476,0.029880115151243496,-3.3832103370051145,TB,down
ENSG00000146830,-0.14961454892117157,6.469800763275377,-3.142293146821732,0.008764907685412495,0.029880115151243496,-3.3833848417793075,TB,down
ENSG00000125772,-0.2751331964073104,7.475034857089024,-3.142286171010233,0.008765019772812634,0.029880115151243496,-3.3833976127533294,TB,down
ENSG00000059915,0.588578751097893,0.7772357782031614,3.1417727827842437,0.008773272866611495,0.02990031898215087,-3.384337492946585,TB,up
ENSG00000119866,0.7406997003421638,3.1955561026692565,3.1412717796099354,0.008781334413493316,0.029919859459760365,-3.385254688234755,TB,up
ENSG00000103042,-0.26243570344903305,5.352970075430621,-3.140974798221196,0.008786116608949278,0.029928219098387523,-3.3857983720796034,TB,down
ENSG00000159792,-0.13994768089705883,4.258225776934563,-3.1402431273707565,0.008797909671768201,0.029960449152507927,-3.3871378254368527,TB,down
ENSG00000125844,0.17598419244113056,9.21514725063991,3.1397034666051686,0.008806618140526605,0.029982160620410047,-3.388125755168115,TB,up
ENSG00000101811,-0.17178658078469383,4.292878066168542,-3.1386341828856557,0.008823898768472315,0.03002614378851378,-3.3900832009528323,TB,down
ENSG00000086544,0.21540099082390038,4.703416873659608,3.1386149527863587,0.00882420985754875,0.03002614378851378,-3.3901184033794802,TB,up
ENSG00000069399,0.35569527878516266,5.418098753630751,3.1383000404897494,0.008829305828280827,0.030035531631833028,-3.3906948763344618,TB,up
ENSG00000168310,0.26347259710996423,6.493321486515329,3.1373474623009705,0.008844738692203305,0.030080069243767365,-3.3924386225281014,TB,up
